Date,Time (UTC),rad(m)
2020-04-17,2020-04-17 11:59:30.000000000,-0.09618472222222187
2020-04-18,2020-04-18 11:59:30.000000000,-0.0773944444444441
2020-04-19,2020-04-19 11:59:30.000000000,-0.09662986111111074
2020-04-20,2020-04-20 11:59:30.000000000,-0.11563402777777743
2020-04-21,2020-04-21 11:59:30.000000000,-0.1151368055555552
2020-04-22,2020-04-22 11:59:30.000000000,-0.13149722222222188
2020-04-23,2020-04-23 11:59:30.000000000,-0.11060624999999964
2020-04-24,2020-04-24 11:59:30.000000000,-0.12401736111111077
2020-04-25,2020-04-25 11:59:30.000000000,-0.15838402777777744
2020-04-26,2020-04-26 11:59:30.000000000,-0.16553611111111075
2020-04-27,2020-04-27 11:59:30.000000000,-0.18894652777777743
2020-04-28,2020-04-28 11:59:30.000000000,-0.17523888888888853
2020-04-29,2020-04-29 11:59:30.000000000,-0.16860138888888854
2020-04-30,2020-04-30 11:59:30.000000000,-0.1534166666666663
2020-05-01,2020-05-01 11:59:30.000000000,-0.1881986111111115
2020-05-02,2020-05-02 11:59:30.000000000,-0.18494097222222258
2020-05-03,2020-05-03 11:59:30.000000000,-0.17444583333333372
2020-05-04,2020-05-04 11:57:22.970711296,-0.18550209205020957
2020-05-05,2020-05-05 11:59:30.000000000,-0.22885972222222256
2020-05-06,2020-05-06 11:59:30.000000000,-0.23841111111111146
2020-05-07,2020-05-07 11:59:30.000000000,-0.21889513888888926
2020-05-08,2020-05-08 11:59:30.000000000,-0.19932500000000036
2020-05-09,2020-05-09 11:59:30.000000000,-0.17270972222222258
2020-05-10,2020-05-10 11:59:30.000000000,-0.14680138888888924
2020-05-11,2020-05-11 11:59:30.000000000,-0.15269652777777815
2020-05-12,2020-05-12 11:58:10.336134400,-0.11263305322128887
2020-05-13,2020-05-13 11:59:30.000000000,-0.0792694444444448
2020-05-14,2020-05-14 11:59:30.000000000,-0.08675694444444479
2020-05-15,2020-05-15 11:59:30.000000000,-0.06200138888888925
2020-05-16,2020-05-16 11:59:30.000000000,-0.04442152777777815
2020-05-17,2020-05-17 11:59:30.000000000,-0.06283472222222257
2020-05-18,2020-05-18 11:59:30.000000000,-0.07330902777777813
2020-05-19,2020-05-19 11:59:30.000000000,-0.0930694444444448
2020-05-20,2020-05-20 11:59:30.000000000,-0.07268541666666703
2020-05-21,2020-05-21 11:59:30.000000000,-0.14311250000000036
2020-05-22,2020-05-22 11:59:30.000000000,-0.07926388888888923
2020-05-23,2020-05-23 12:01:28.493723904,-0.10497001394700176
2020-05-24,2020-05-24 11:59:30.000000000,-0.08359444444444479
2020-05-25,2020-05-25 11:59:03.891213312,-0.030854253835425737
2020-05-26,2020-05-26 11:59:30.000000000,0.08844097222222184
2020-05-27,2020-05-27 12:00:53.697478912,0.17668207282913131
2020-05-28,2020-05-28 11:59:30.000000000,0.20729305555555522
2020-05-29,2020-05-29 11:59:30.000000000,0.18474166666666633
2020-05-30,2020-05-30 11:59:30.000000000,0.22192152777777743
2020-05-31,2020-05-31 11:59:30.000000000,0.19625138888888854
2020-06-01,2020-06-01 11:59:30.000000000,0.2391118055555559
2020-06-02,2020-06-02 11:59:30.000000000,0.19539097222222257
2020-06-03,2020-06-03 11:59:30.000000000,0.1182631944444448
2020-06-04,2020-06-04 11:59:30.000000000,0.0933569444444448
2020-06-05,2020-06-05 11:59:30.000000000,0.0413243055555559
2020-06-06,2020-06-06 11:59:30.000000000,0.030637500000000362
2020-06-07,2020-06-07 11:59:30.000000000,-0.00019236111111076273
2020-06-08,2020-06-08 11:59:30.000000000,-0.024147916666666307
2020-06-09,2020-06-09 11:53:37.118643968,-0.03474858757062111
2020-06-10,2020-06-10 11:59:30.000000000,-0.0530118055555552
2020-06-11,2020-06-11 11:59:30.000000000,-0.01573611111111075
2020-06-12,2020-06-12 11:59:30.000000000,-0.0017798611111107432
2020-06-13,2020-06-13 12:02:07.815126016,-0.01619817927170832
2020-06-14,2020-06-14 12:02:59.620253184,-0.050688466947960274
2020-06-15,2020-06-15 11:57:38.033472768,-0.08815411436541108
2020-06-16,2020-06-16 11:59:30.000000000,-0.10336597222222187
2020-06-17,2020-06-17 12:05:58.474576384,-0.1324887005649714
2020-06-18,2020-06-18 11:57:33.514644480,-0.1567817294281726
2020-06-19,2020-06-19 12:01:46.569037568,-0.2435209205020917
2020-06-20,2020-06-20 11:59:30.000000000,-0.25009999999999966
2020-06-21,2020-06-21 11:59:30.000000000,-0.24967499999999967
2020-06-22,2020-06-22 11:59:30.000000000,-0.2967749999999996
2020-06-23,2020-06-23 11:59:30.000000000,-0.2827479166666663
2020-06-24,2020-06-24 11:57:10.920502016,-0.2738375174337514
2020-06-25,2020-06-25 12:00:50.836819968,-0.25377684797768446
2020-06-26,2020-06-26 11:59:30.000000000,-0.214833333333333
2020-06-27,2020-06-27 11:59:30.000000000,-0.1991569444444441
2020-06-28,2020-06-28 11:59:30.000000000,-0.18890763888888853
2020-06-29,2020-06-29 11:59:30.000000000,-0.15458472222222186
2020-06-30,2020-06-30 11:59:30.000000000,-0.15196249999999964
2020-07-01,2020-07-01 11:59:30.000000000,0.023949305555555207
2020-07-02,2020-07-02 12:02:24.225941504,-0.016259414225941782
2020-07-03,2020-07-03 11:59:30.000000000,-0.027128472222222574
2020-07-04,2020-07-04 11:59:30.000000000,-0.015129166666667028
2020-07-05,2020-07-05 11:59:30.000000000,-0.03425625000000035
2020-07-06,2020-07-06 11:57:15.439330560,-0.017251046025104962
2020-07-07,2020-07-07 11:59:30.000000000,-0.004397916666667017
2020-07-08,2020-07-08 11:59:30.000000000,0.06112986111111075
2020-07-09,2020-07-09 11:59:30.000000000,0.06189166666666631
2020-07-10,2020-07-10 11:59:30.000000000,0.06229444444444408
2020-07-11,2020-07-11 11:59:30.000000000,0.03792013888888854
2020-07-12,2020-07-12 11:59:30.000000000,0.019136805555555202
2020-07-13,2020-07-13 11:59:30.000000000,0.0001590277777774207
2020-07-14,2020-07-14 11:59:30.000000000,0.004472222222221858
2020-07-15,2020-07-15 11:59:30.000000000,-0.010385416666667029
2020-07-16,2020-07-16 11:59:30.000000000,-0.0448583333333337
2020-07-17,2020-07-17 11:59:30.000000000,-0.061695833333333686
2020-07-18,2020-07-18 11:54:01.898734080,-0.03336075949367124
2020-07-19,2020-07-19 11:59:30.000000000,-0.059090972222222586
2020-07-20,2020-07-20 11:57:48.577405952,-0.054917015341701896
2020-07-21,2020-07-21 11:59:30.000000000,-0.05212847222222258
2020-07-22,2020-07-22 11:59:30.000000000,-0.030043055555555916
2020-07-23,2020-07-23 11:59:30.000000000,-0.019437500000000354
2020-07-24,2020-07-24 11:59:30.000000000,-0.031177083333333695
2020-07-25,2020-07-25 11:59:30.000000000,-0.03469513888888924
2020-07-26,2020-07-26 11:59:30.000000000,-0.12624513888888925
2020-07-27,2020-07-27 11:59:30.000000000,-0.13668263888888924
2020-07-28,2020-07-28 11:59:30.000000000,-0.15595416666666703
2020-07-29,2020-07-29 11:59:30.000000000,-0.21137361111111147
2020-07-30,2020-07-30 11:59:30.000000000,-0.25441597222222256
2020-07-31,2020-07-31 11:52:00.127659520,-0.27649361702127695
2020-08-01,2020-08-01 11:59:30.000000000,-0.2809590277777777
2020-08-02,2020-08-02 11:59:30.000000000,-0.2649687499999999
2020-08-03,2020-08-03 11:59:30.000000000,-0.24899999999999992
2020-08-04,2020-08-04 11:59:30.000000000,-0.20652847222222215
2020-08-05,2020-08-05 11:59:30.000000000,-0.21600069444444436
2020-08-06,2020-08-06 11:59:30.000000000,-0.18106944444444437
2020-08-07,2020-08-07 11:59:30.000000000,-0.18269444444444435
2020-08-08,2020-08-08 11:59:30.000000000,-0.1604555555555555
2020-08-09,2020-08-09 11:59:30.000000000,-0.18719305555555546
2020-08-10,2020-08-10 11:59:30.000000000,-0.16945208333333325
2020-08-11,2020-08-11 11:59:30.000000000,-0.12927708333333324
2020-08-12,2020-08-12 11:59:30.000000000,-0.07751458333333325
2020-08-13,2020-08-13 11:59:30.000000000,-0.07353819444444437
2020-08-14,2020-08-14 11:59:30.000000000,-0.03514513888888882
2020-08-15,2020-08-15 11:53:27.966101760,-0.05643855932203383
2020-08-16,2020-08-16 11:59:49.746835456,-0.1000710267229254
2020-08-17,2020-08-17 11:59:30.000000000,-0.11725208333333327
2020-08-18,2020-08-18 11:59:30.000000000,-0.1393888888888888
2020-08-19,2020-08-19 11:59:30.000000000,-0.15240138888888882
2020-08-20,2020-08-20 11:59:30.000000000,-0.12661458333333325
2020-08-21,2020-08-21 11:54:45.949367040,-0.12804219409282694
2020-08-22,2020-08-22 11:59:30.000000000,-0.13160069444444436
2020-08-23,2020-08-23 11:59:30.000000000,-0.05089027777777773
2020-08-24,2020-08-24 11:59:30.000000000,-0.0715854166666666
2020-08-25,2020-08-25 11:59:30.000000000,-0.06492430555555549
2020-08-26,2020-08-26 11:59:30.000000000,-0.11078124999999993
2020-08-27,2020-08-27 11:59:30.000000000,-0.13401111111111103
2020-08-28,2020-08-28 11:59:30.000000000,-0.0986416666666666
2020-08-29,2020-08-29 11:59:30.000000000,-0.10374374999999994
2020-08-30,2020-08-30 11:42:34.978165760,-0.11266739446870444
2020-08-31,2020-08-31 11:59:37.029288704,-0.14174407252440718
2020-09-01,2020-09-01 11:59:30.000000000,-0.14930416666666685
2020-09-02,2020-09-02 11:59:30.000000000,-0.16226319444444462
2020-09-03,2020-09-03 11:59:30.000000000,-0.1207770833333335
2020-09-04,2020-09-04 11:51:55.531914752,-0.1342304964539009
2020-09-05,2020-09-05 11:48:35.922746624,-0.11954721030042938
2020-09-06,2020-09-06 11:59:27.478991616,-0.11432773109243714
2020-09-07,2020-09-07 11:59:30.000000000,-0.14783819444444463
2020-09-08,2020-09-08 11:59:30.000000000,-0.13026458333333352
2020-09-09,2020-09-09 11:59:30.000000000,-0.12661875000000017
2020-09-10,2020-09-10 11:59:30.000000000,-0.14430902777777796
2020-09-11,2020-09-11 12:49:15.137614592,-0.11926529051987785
2020-09-12,2020-09-12 11:59:30.000000000,-0.1736208333333335
2020-09-13,2020-09-13 11:59:30.000000000,-0.19159305555555572
2020-09-14,2020-09-14 12:02:13.682008320,-0.2002370990237101
2020-09-15,2020-09-15 11:59:30.000000000,-0.21508680555555573
2020-09-16,2020-09-16 11:59:30.000000000,-0.13451944444444464
2020-09-17,2020-09-17 11:59:30.000000000,-0.07769027777777796
2020-09-18,2020-09-18 11:59:30.000000000,-0.03745694444444461
2020-09-19,2020-09-19 11:56:44.117647104,-0.048246498599439955
2020-09-20,2020-09-20 11:59:30.000000000,0.003322916666666493
2020-09-21,2020-09-21 12:03:16.547085312,-0.05738266068759359
2020-09-22,2020-09-22 11:50:46.923076864,-0.03923433048433066
2020-09-23,2020-09-23 12:00:07.154811648,-0.06538145048814523
2020-09-24,2020-09-24 11:59:30.000000000,-0.08143958333333352
2020-09-25,2020-09-25 11:56:50.168067328,-0.10922268907563043
2020-09-26,2020-09-26 11:59:30.000000000,-0.11605625000000017
2020-09-27,2020-09-27 11:55:04.177214976,-0.13622433192686373
2020-09-28,2020-09-28 11:49:53.076923136,-0.12592236467236487
2020-09-29,2020-09-29 11:59:30.000000000,-0.12279097222222239
2020-09-30,2020-09-30 11:59:30.000000000,-0.12845069444444462
2020-10-01,2020-10-01 11:59:30.000000000,-0.2317548611111114
2020-10-02,2020-10-02 11:59:30.000000000,-0.23232916666666698
2020-10-03,2020-10-03 11:59:30.000000000,-0.2467097222222225
2020-10-04,2020-10-04 10:47:50.281690112,-0.18041549295774675
2020-10-05,2020-10-05 13:02:24.597156352,-0.30703238546603506
2020-10-06,2020-10-06 11:59:30.000000000,-0.3078930555555558
2020-10-07,2020-10-07 11:59:30.000000000,-0.30032986111111143
2020-10-08,2020-10-08 11:59:30.000000000,-0.34447013888888917
2020-10-09,2020-10-09 11:59:30.000000000,-0.33717083333333364
2020-10-10,2020-10-10 11:59:30.000000000,-0.27919930555555583
2020-10-11,2020-10-11 11:45:29.482758656,-0.32927658045977043
2020-10-12,2020-10-12 11:59:30.000000000,-0.2952500000000003
2020-10-13,2020-10-13 11:59:30.000000000,-0.27456180555555587
2020-10-14,2020-10-14 11:59:30.000000000,-0.32430416666666695
2020-10-15,2020-10-15 11:59:30.000000000,-0.29975555555555583
2020-10-16,2020-10-16 11:59:30.000000000,-0.2732013888888892
2020-10-17,2020-10-17 11:59:30.000000000,-0.24802777777777807
2020-10-18,2020-10-18 11:58:27.740585728,-0.24813807531380783
2020-10-19,2020-10-19 11:59:30.000000000,-0.19184791666666695
2020-10-20,2020-10-20 11:59:30.000000000,-0.19652291666666694
2020-10-21,2020-10-21 11:57:50.083682048,-0.2216394700139473
2020-10-22,2020-10-22 11:59:30.000000000,-0.1946923611111114
2020-10-23,2020-10-23 11:59:30.000000000,-0.13922430555555584
2020-10-24,2020-10-24 11:59:30.000000000,-0.11536944444444472
2020-10-25,2020-10-25 12:19:38.130841088,-0.08122070452911603
2020-10-26,2020-10-26 11:59:30.000000000,-0.08663055555555585
2020-10-27,2020-10-27 11:59:30.000000000,-0.08424930555555583
2020-10-28,2020-10-28 11:59:30.000000000,-0.06150347222222251
2020-10-29,2020-10-29 11:59:30.000000000,-0.05372430555555583
2020-10-30,2020-10-30 11:59:30.000000000,-0.018692361111111392
2020-10-31,2020-10-31 11:59:30.000000000,-0.003566666666666946
2020-11-01,2020-11-01 11:56:08.961039104,-0.11121717171717208
2020-11-02,2020-11-02 11:59:30.000000000,-0.05777152777777814
2020-11-03,2020-11-03 11:59:30.000000000,-0.034350000000000366
2020-11-04,2020-11-04 11:59:30.000000000,0.0006249999999996462
2020-11-05,2020-11-05 11:59:30.000000000,-0.008636111111111469
2020-11-06,2020-11-06 11:59:30.000000000,-0.07804027777777814
2020-11-07,2020-11-07 11:57:38.356546048,-0.0446121169916438
2020-11-08,2020-11-08 11:59:30.000000000,-0.006799305555555927
2020-11-09,2020-11-09 11:59:30.000000000,-0.020091666666667018
2020-11-10,2020-11-10 11:59:40.194579456,-0.049116052814454844
2020-11-11,2020-11-11 11:59:30.000000000,-0.023641666666667015
2020-11-12,2020-11-12 11:58:26.234309632,-0.041646443514644714
2020-11-13,2020-11-13 11:59:30.000000000,-0.06045416666666702
2020-11-14,2020-11-14 11:59:30.000000000,-0.12401458333333368
2020-11-15,2020-11-15 11:59:30.000000000,-0.15534166666666702
2020-11-16,2020-11-16 11:59:30.000000000,-0.18467291666666705
2020-11-17,2020-11-17 11:59:30.000000000,-0.16570972222222258
2020-11-18,2020-11-18 11:59:30.000000000,-0.17371736111111147
2020-11-19,2020-11-19 11:59:30.000000000,-0.1927819444444448
2020-11-20,2020-11-20 11:59:30.000000000,-0.1625333333333337
2020-11-21,2020-11-21 11:59:30.000000000,-0.17756388888888924
2020-11-22,2020-11-22 11:59:30.000000000,-0.1745680555555559
2020-11-23,2020-11-23 11:59:30.000000000,-0.18614791666666702
2020-11-24,2020-11-24 11:59:30.000000000,-0.19024097222222258
2020-11-25,2020-11-25 11:59:30.000000000,-0.1808708333333337
2020-11-26,2020-11-26 11:59:30.000000000,-0.1738986111111115
2020-11-27,2020-11-27 12:00:35.774058496,-0.17761366806136714
2020-11-28,2020-11-28 11:59:30.000000000,-0.21812361111111148
2020-11-29,2020-11-29 11:59:30.000000000,-0.15521527777777813
2020-11-30,2020-11-30 11:59:30.000000000,-0.10115763888888925
2020-12-01,2020-12-01 11:59:30.000000000,-0.0910145833333333
2020-12-02,2020-12-02 11:59:30.000000000,-0.07693888888888885
2020-12-03,2020-12-03 11:59:30.000000000,-0.023611111111111076
2020-12-04,2020-12-04 11:59:30.000000000,-0.006994444444444403
2020-12-05,2020-12-05 11:59:30.000000000,0.0037486111111111418
2020-12-06,2020-12-06 11:59:30.000000000,0.01582291666666671
2020-12-07,2020-12-07 11:59:30.000000000,0.006350694444444469
2020-12-08,2020-12-08 11:59:30.000000000,0.025204861111111133
2020-12-09,2020-12-09 11:59:30.000000000,0.07129236111111116
2020-12-10,2020-12-10 11:57:52.758620672,0.06102442528735634
2020-12-11,2020-12-11 11:59:30.000000000,0.0935041666666667
2020-12-12,2020-12-12 11:59:30.000000000,0.008125694444444477
2020-12-13,2020-12-13 11:59:30.000000000,-0.021722222222222195
2020-12-14,2020-12-14 07:17:00.000000000,0.2529634285714286
2020-12-15,2020-12-15 08:55:30.000000000,0.3244570858283433
2020-12-16,2020-12-16 05:58:37.200000256,-0.21819777777777774
2020-12-17,2020-12-17 08:19:30.000000000,-0.01665044247787607
2020-12-18,2020-12-18 08:28:38.181818112,0.07421212121212126
2020-12-19,2020-12-19 08:30:45.918367232,-0.01589115646258501
2020-12-20,2020-12-20 06:53:53.193277184,-0.07888235294117643
2020-12-21,2020-12-21 08:43:30.000000000,0.024236017897091757
