Date,Time (UTC),rad(m)
2022-01-01,2022-01-01 08:11:08.364780032,0.32249820131995416
2022-01-02,2022-01-02 06:28:55.169491456,0.2682820191607363
2022-01-03,2022-01-03 06:08:55.506241280,0.07934104002117483
2022-01-04,2022-01-04 06:11:24.635761664,0.0013572511763811379
2022-01-05,2022-01-05 06:07:41.308089344,-0.024568365386343875
2022-01-06,2022-01-06 05:59:00.000000000,-0.11503755215577201
2022-01-07,2022-01-07 06:15:29.584487424,-0.1406469669594639
2022-01-08,2022-01-08 06:54:29.496644352,0.03126994942158906
2022-01-09,2022-01-09 07:33:45.345997056,-0.08165573319108854
2022-01-10,2022-01-10 08:18:29.641148160,-0.07417238055590067
2022-01-11,2022-01-11 06:30:29.496644096,0.043536727945078985
2022-01-12,2022-01-12 04:57:29.458483712,-0.12014821325764066
2022-01-13,2022-01-13 06:42:29.516129024,0.027351435250430756
2022-01-14,2022-01-14 07:25:43.055555584,0.08843467525586626
2022-01-15,2022-01-15 04:12:55.212765952,-0.11299792630177063
2022-01-16,2022-01-16 09:16:30.000000000,0.12758888888888878
2022-01-17,2022-01-17 09:34:30.000000000,0.13817307692307682
2022-01-18,2022-01-18 07:54:22.166344448,-0.18727272727272737
2022-01-19,2022-01-19 11:58:14.184100352,-0.07286401673640178
2022-01-20,2022-01-20 10:30:20.097087488,0.06704935275080895
2022-01-21,2022-01-21 10:33:58.846153728,0.05898878205128195
2022-01-22,2022-01-22 11:59:30.000000000,-0.05373819444444455
2022-01-23,2022-01-23 11:58:52.562673920,-0.04947632311977726
2022-01-24,2022-01-24 11:59:30.000000000,-0.01588472222222232
2022-01-25,2022-01-25 10:46:04.276457728,0.10566942748948924
2022-01-26,2022-01-26 14:07:21.176470784,-0.011242132885047405
2022-01-27,2022-01-27 11:55:15.211267584,-0.017091704429201326
2022-01-28,2022-01-28 12:00:11.080139264,-0.055246031409314694
2022-01-29,2022-01-29 12:03:33.394625280,-0.0735369308977835
2022-01-30,2022-01-30 11:59:30.000000000,-0.09922638888888899
2022-01-31,2022-01-31 11:55:22.816901376,-0.04296353541511682
2022-02-01,2022-02-01 11:57:40.557491456,-0.06158082330291767
2022-02-02,2022-02-02 11:47:39.574468096,-0.03167084300575808
2022-02-03,2022-02-03 09:13:33.615455488,0.20486626487782414
2022-02-04,2022-02-04 08:29:00.537084416,-0.13882206076405562
2022-02-05,2022-02-05 11:58:23.916083968,-0.03468808592963165
2022-02-06,2022-02-06 10:47:16.299766016,0.046965304981218106
2022-02-07,2022-02-07 12:01:37.762237696,-0.060649624391170116
2022-02-08,2022-02-08 11:59:54.084506880,-0.07552248292869441
2022-02-09,2022-02-09 09:47:19.508196864,-0.016216554896390893
2022-02-10,2022-02-10 08:35:50.930930944,0.07734441865991398
2022-02-11,2022-02-11 06:00:38.266897664,0.17680781865144088
