Time (UTC),Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
2022-12-19,24.2,31.6,27.8,78.0,0.0,11.3,6.0,260.0,2.0
2022-12-20,24.1,31.6,28.0,74.0,0.0,12.7,5.0,100.0,2.0
2022-12-21,25.0,31.0,28.3,80.0,0.8,12.1,12.0,280.0,7.0
2022-12-22,24.3,28.6,25.7,94.0,6.9,6.0,12.0,280.0,8.0
2022-12-23,24.1,31.0,27.2,84.0,28.4,0.0,16.0,270.0,10.0
2022-12-24,23.0,27.9,24.4,97.0,108.0,2.0,10.0,280.0,6.0
2022-12-25,23.5,27.5,25.4,95.0,47.3,0.0,15.0,270.0,8.0
2022-12-26,23.2,32.5,27.4,84.0,27.3,0.0,8.0,280.0,5.0
2022-12-27,25.5,29.5,27.5,83.0,6.0,1.2,9.0,270.0,6.0
2022-12-28,24.5,29.1,26.9,84.0,2.3,0.0,9.0,270.0,5.0
2022-12-29,24.0,30.1,27.0,84.0,35.6,3.2,8.0,260.0,4.0
2022-12-30,25.9,30.0,27.6,83.0,1.0,4.9,7.0,310.0,3.0
2022-12-31,24.9,32.2,27.7,83.0,0.0,0.6,7.0,280.0,3.0
